arch,seed,checkpoint,training,condition,acc,sens,spec,auc,acc_lo,acc_hi,sens_lo,sens_hi,spec_lo,spec_hi,auc_lo,auc_hi
full,3,full_faithful_s3,clean,only_glare,43.333333333333336,100.0,32.0,0.9327551020408164,38.333333333333336,48.095238095238095,100.0,100.0,26.89045271287706,37.089285714285715,0.9023774876398536,0.9584966390024361
full,3,full_phoneft_s3,phone_augmented,clean,92.38095238095238,67.14285714285714,97.42857142857143,0.9368571428571428,89.76190476190476,94.76190476190476,55.1268115942029,77.94470185334407,95.60019694945252,98.86685552407933,0.9030313511705141,0.9651084172624527
full,3,full_phoneft_s3,phone_augmented,phone_all,87.61904761904762,67.14285714285714,91.71428571428571,0.9216326530612245,84.04761904761905,90.95238095238095,55.73770491803279,78.48101265822785,88.59586466165413,94.50867052023122,0.8868051557673345,0.9512295918367346
full,4,full_faithful_s4,clean,clean,96.9047619047619,87.14285714285714,98.85714285714286,0.9828979591836735,95.23809523809524,98.33333333333333,79.16511194029852,94.44444444444444,97.48568043437324,99.72067039106145,0.9688096716947648,0.9939518522023594
full,4,full_faithful_s4,clean,phone_all,46.42857142857143,84.28571428571429,38.857142857142854,0.7064897959183674,41.898809523809526,51.42857142857143,74.62560080951177,92.53731343283582,33.9711137581894,44.220222455771584,0.6304478263076332,0.7761666114621363
full,4,full_faithful_s4,clean,only_brightness,70.47619047619048,74.28571428571429,69.71428571428571,0.8272244897959184,65.95238095238095,74.5297619047619,64.1015625,84.48336571151044,65.1092378292099,74.45160455486541,0.7768981262047474,0.8756672676965256
full,4,full_faithful_s4,clean,only_blur,74.76190476190476,95.71428571428571,70.57142857142857,0.9543265306122449,70.47619047619048,79.04761904761905,89.85507246376811,100.0,65.69732371095455,75.62344328313043,0.9271724025104142,0.9784079303474673
full,4,full_faithful_s4,clean,only_moire,80.47619047619048,75.71428571428571,81.42857142857143,0.843591836734694,76.42857142857143,84.28571428571429,65.1443488943489,85.71428571428571,77.05382436260624,85.31093009061458,0.7828115460875134,0.8972916221025645
full,4,full_faithful_s4,clean,only_rotation,93.0952380952381,94.28571428571429,92.85714285714286,0.979591836734694,90.71428571428571,95.47619047619048,88.13369592714395,98.73417721518987,90.11901871931812,95.46806048757132,0.9561729468599033,0.9961297170100373
full,4,full_faithful_s4,clean,only_glare,46.904761904761905,98.57142857142857,36.57142857142857,0.9371224489795918,41.904761904761905,51.904761904761905,95.3125,100.0,31.24778682719547,41.80870592968868,0.9064306386092977,0.9626073478935154
full,4,full_phoneft_s4,phone_augmented,clean,91.9047619047619,68.57142857142857,96.57142857142857,0.9366530612244898,89.28571428571429,94.52380952380952,56.92307692307692,79.72972972972973,94.57103970528038,98.31056142951894,0.9003545166240943,0.96543928987531
full,4,full_phoneft_s4,phone_augmented,phone_all,83.57142857142857,65.71428571428571,87.14285714285714,0.8714693877551021,80.0,87.14285714285714,53.94483805668016,76.92857142857142,83.71326530612244,90.31339031339031,0.8149357084563332,0.9193722721130461
