arch,seed,schedule,kind,target_sparsity,actual_sparsity,channel_sparsity,acc_pre_ft,sens_pre_ft,size_mb,acc,sens,spec,auc,acc_lo,acc_hi,sens_lo,sens_hi,spec_lo,spec_hi,auc_lo,auc_hi
compact,3,one-shot,structured,0.25,16.341770633397314,16.847826086956523,92.85714285714286,57.142857142857146,1.0695600509643555,86.42857142857143,98.57142857142857,84.0,0.9893877551020408,83.0952380952381,89.52380952380952,95.16129032258064,100.0,80.05776287588492,87.57308882194903,0.9671879204578749,0.9996736607142858
compact,3,one-shot,structured,0.5,32.68354126679463,33.69565217391305,83.33333333333333,0.0,1.0695600509643555,94.76190476190476,94.28571428571429,94.85714285714286,0.9834693877551021,92.38095238095238,96.9047619047619,88.05929591174562,98.64909909909909,92.43590957509764,97.08454810495627,0.9623018785746017,0.9965763106821556
compact,3,one-shot,structured,0.75,49.02531190019194,50.54347826086956,83.33333333333333,0.0,1.0695600509643555,20.0,100.0,4.0,0.8698775510204081,15.952380952380953,23.57738095238095,100.0,100.0,2.022975629258217,6.197578964913742,0.8231595216877162,0.9107408611211428
compact,3,iterative,unstructured,0.7521241088917505,75.21255698176583,0.0,,,1.0692758560180664,99.04761904761905,95.71428571428571,99.71428571428571,0.9985714285714287,98.0952380952381,99.76190476190476,90.27435446009389,100.0,99.12023460410558,100.0,0.9956894594769486,1.0
compact,4,one-shot,unstructured,0.25,25.0,0.0,96.42857142857143,94.28571428571429,1.0697088241577148,98.80952380952381,95.71428571428571,99.42857142857143,0.998,97.61904761904762,99.76190476190476,90.0,100.0,98.55072463768116,100.0,0.9949794435419522,0.9999211067407549
compact,4,one-shot,unstructured,0.5,50.0,0.0,94.76190476190476,91.42857142857143,1.0697088241577148,99.04761904761905,95.71428571428571,99.71428571428571,0.9990204081632653,98.0952380952381,99.76190476190476,89.9963768115942,100.0,98.88849765258216,100.0,0.9971663421592589,1.0
compact,4,one-shot,unstructured,0.75,75.0,0.0,83.33333333333333,0.0,1.0697088241577148,83.33333333333333,0.0,100.0,0.9786122448979592,79.75595238095238,86.91071428571428,0.0,0.0,100.0,100.0,0.9595821648661791,0.9921136814629669
compact,4,one-shot,structured,0.25,16.341770633397314,16.847826086956523,83.33333333333333,0.0,1.0695600509643555,97.61904761904762,92.85714285714286,98.57142857142857,0.9928979591836734,95.95238095238095,99.04761904761905,86.20557029177719,98.52941176470588,97.19868284392409,99.71348751534998,0.9827041294511296,0.9995046027337827
compact,4,one-shot,structured,0.5,32.68354126679463,33.69565217391305,83.33333333333333,0.0,1.0695600509643555,92.61904761904762,71.42857142857143,96.85714285714286,0.9381632653061225,90.0,95.0,60.29361402095085,81.1616847826087,95.02730027057241,98.57142857142857,0.9012709686691578,0.9668483957739928
compact,4,one-shot,structured,0.75,49.02531190019194,50.54347826086956,83.33333333333333,0.0,1.0695600509643555,94.52380952380952,75.71428571428571,98.28571428571429,0.9734285714285714,92.61904761904762,96.42857142857143,65.14923329682367,85.24710703953713,96.83885272781477,99.43189843348742,0.9516877425437119,0.9897522997840426
compact,4,iterative,unstructured,0.7521241088917505,75.21255698176583,0.0,,,1.0692758560180664,99.04761904761905,94.28571428571429,100.0,0.9988979591836735,98.0952380952381,99.76190476190476,88.33279220779221,98.71794871794872,100.0,100.0,0.9968361164243361,1.0
full,0,one-shot,unstructured,0.25,25.0,0.0,86.66666666666667,95.71428571428571,16.588913917541504,95.47619047619048,92.85714285714286,96.0,0.9792244897959184,93.57142857142857,97.38095238095238,86.20084694494858,98.3883568548387,93.94768952707769,97.95933198860939,0.957140838381737,0.9943212859120386
full,0,one-shot,unstructured,0.5,50.0,0.0,93.0952380952381,60.0,16.588913917541504,93.0952380952381,94.28571428571429,92.85714285714286,0.9820816326530613,90.70833333333333,95.47619047619048,88.52301387137452,98.6842105263158,90.08428164434716,95.29446265309643,0.9617310655446247,0.9949110171810541
full,0,one-shot,unstructured,0.75,75.0,0.0,83.33333333333333,0.0,16.588913917541504,83.33333333333333,0.0,100.0,0.9291428571428573,79.75595238095238,86.91071428571428,0.0,0.0,100.0,100.0,0.8968139097210039,0.9578824901028014
full,0,one-shot,structured,0.25,18.60396968039384,15.131578947368421,83.33333333333333,0.0,16.58861255645752,96.42857142857143,78.57142857142857,100.0,0.9758775510204081,94.52380952380952,98.0952380952381,68.3539029535865,88.31404103143234,100.0,100.0,0.9485186799241806,0.9966395435963922
full,0,one-shot,structured,0.5,37.20793936078769,30.263157894736842,83.33333333333333,0.0,16.58861255645752,95.47619047619048,84.28571428571429,97.71428571428571,0.9666938775510204,93.33333333333333,97.38095238095238,75.7116724738676,92.54005706760316,95.98825050225604,99.15014164305948,0.9397447836950897,0.9880355150880274
full,0,one-shot,structured,0.75,55.81190904118153,45.39473684210526,83.33333333333333,0.0,16.58861255645752,88.33333333333333,87.14285714285714,88.57142857142857,0.9471836734693878,85.23809523809524,91.19047619047619,78.46153846153847,94.54668304668304,85.23573785032913,91.74093674577635,0.9152236185185767,0.9735434465538589
full,0,iterative,unstructured,0.7521241088917505,75.21240562334178,0.0,,,16.588252067565918,97.38095238095238,90.0,98.85714285714286,0.9873877551020407,95.71428571428571,98.80952380952381,82.6048817696415,96.15384615384616,97.68099089989889,99.72451790633609,0.9733752852772412,0.9974724346455
full,1,one-shot,unstructured,0.25,25.0,0.0,94.04761904761905,85.71428571428571,16.588913917541504,81.9047619047619,88.57142857142857,80.57142857142857,0.957265306122449,78.33333333333333,85.71428571428571,80.81891372266283,95.65372670807454,76.5311890516016,84.79862700228833,0.9282998238695103,0.9804633598279294
full,1,one-shot,unstructured,0.5,50.0,0.0,93.80952380952381,62.857142857142854,16.588913917541504,96.19047619047619,80.0,99.42857142857143,0.9782448979591838,94.28571428571429,97.85714285714286,69.83766233766234,88.89269406392694,98.58346880633532,100.0,0.9606107647402033,0.9919491422148636
full,1,one-shot,unstructured,0.75,75.0,0.0,83.33333333333333,0.0,16.588913917541504,83.33333333333333,0.0,100.0,0.9604489795918368,79.75595238095238,86.91071428571428,0.0,0.0,100.0,100.0,0.922896726913664,0.9884167581689447
full,1,one-shot,structured,0.25,18.60396968039384,15.131578947368421,16.666666666666668,100.0,16.58861255645752,72.85714285714286,95.71428571428571,68.28571428571429,0.9564081632653062,68.33333333333333,77.14285714285714,90.35650799920995,100.0,63.276111835433866,73.38988196434643,0.9198731239984769,0.9849959244938514
full,1,one-shot,structured,0.5,37.20793936078769,30.263157894736842,83.33333333333333,0.0,16.58861255645752,87.38095238095238,90.0,86.85714285714286,0.9369795918367346,83.80952380952381,90.47619047619048,82.53759398496241,96.1590909090909,83.14285714285714,90.40870708748616,0.8919338022402012,0.9703901226538854
full,1,one-shot,structured,0.75,55.81190904118153,45.39473684210526,83.33333333333333,0.0,16.58861255645752,82.38095238095238,94.28571428571429,80.0,0.9641632653061225,78.33333333333333,85.95238095238095,88.15789473684211,98.6671052631579,75.57918440877825,84.13632430137724,0.9439302269654215,0.9810152583728289
full,1,iterative,unstructured,0.7521241088917505,75.21240562334178,0.0,,,16.588252067565918,95.23809523809524,75.71428571428571,99.14285714285714,0.9642857142857143,93.0952380952381,97.14285714285714,64.91109530583215,85.71428571428571,98.01657223796035,100.0,0.9407896818357598,0.9835289458508272
full,2,one-shot,unstructured,0.25,25.0,0.0,88.57142857142857,87.14285714285714,16.588913917541504,88.80952380952381,90.0,88.57142857142857,0.9705714285714286,85.47619047619048,91.67261904761905,82.34891216760677,96.10514485514486,85.02989783145574,91.88464438301081,0.9485816228423558,0.9881621095907183
full,2,one-shot,unstructured,0.5,50.0,0.0,92.38095238095238,62.857142857142854,16.588913917541504,88.57142857142857,90.0,88.28571428571429,0.9660000000000001,85.47619047619048,91.42857142857143,82.34891216760677,96.10514485514486,84.94279067852437,91.47075534759358,0.938998087520173,0.9863428210493072
full,2,one-shot,unstructured,0.75,75.0,0.0,83.33333333333333,0.0,16.588913917541504,83.33333333333333,0.0,100.0,0.9464081632653061,79.75595238095238,86.91071428571428,0.0,0.0,100.0,100.0,0.9110495790741603,0.9727989189852723
full,2,one-shot,structured,0.25,18.60396968039384,15.131578947368421,83.33333333333333,0.0,16.58861255645752,95.71428571428571,85.71428571428571,97.71428571428571,0.9666530612244898,93.57142857142857,97.61904761904762,77.01915957052944,93.50754084625054,95.92873190642794,99.15020166130503,0.9391540993240337,0.9872036126066065
full,2,one-shot,structured,0.5,37.20793936078769,30.263157894736842,83.33333333333333,0.0,16.58861255645752,93.33333333333333,91.42857142857143,93.71428571428571,0.9724489795918367,90.95238095238095,95.47619047619048,83.99677419354839,97.1830985915493,90.93420036054597,96.25466965524603,0.9477061641273815,0.9900819250680689
full,2,one-shot,structured,0.75,55.81190904118153,45.39473684210526,83.33333333333333,0.0,16.58861255645752,94.28571428571429,84.28571428571429,96.28571428571429,0.9636326530612245,92.14285714285714,96.42857142857143,75.71428571428571,92.1880073051948,94.13487688199349,98.04509896470078,0.9361115829237793,0.9851402438708883
full,2,iterative,unstructured,0.7521241088917505,75.21240562334178,0.0,,,16.588252067565918,96.42857142857143,78.57142857142857,100.0,0.982938775510204,94.52380952380952,98.0952380952381,68.6545842217484,87.6938775510204,100.0,100.0,0.9620440173986148,0.9983324076620212
full,3,one-shot,unstructured,0.25,25.0,0.0,93.57142857142857,90.0,16.588913917541504,95.71428571428571,91.42857142857143,96.57142857142857,0.9856326530612245,93.57142857142857,97.38095238095238,84.37276785714286,97.18407668231612,94.48843436908444,98.28080229226362,0.9732769927771459,0.994909272053557
full,3,one-shot,unstructured,0.5,50.0,0.0,91.9047619047619,51.42857142857143,16.588913917541504,95.23809523809524,91.42857142857143,96.0,0.9911428571428572,93.0952380952381,97.14285714285714,84.05652173913043,97.14386317907444,93.93740031897927,97.97702437074177,0.9825683673469388,0.9972517818278316
full,3,one-shot,unstructured,0.75,75.0,0.0,16.666666666666668,100.0,16.588913917541504,83.33333333333333,0.0,100.0,0.5,79.75595238095238,86.91071428571428,0.0,0.0,100.0,100.0,0.5,0.5
full,3,one-shot,structured,0.25,18.60396968039384,15.131578947368421,83.33333333333333,0.0,16.58861255645752,96.42857142857143,85.71428571428571,98.57142857142857,0.9650204081632653,94.52380952380952,98.0952380952381,77.33181818181818,93.15068493150685,97.16693761267061,99.71592921066186,0.9318072718835932,0.9899610011275184
full,3,one-shot,structured,0.5,37.20793936078769,30.263157894736842,83.33333333333333,0.0,16.58861255645752,92.85714285714286,84.28571428571429,94.57142857142857,0.9649795918367348,90.4702380952381,95.23809523809524,74.56900726392251,92.31012658227847,92.02192548631717,96.83930688667128,0.9370846195532592,0.9868317827263751
full,3,one-shot,structured,0.75,55.81190904118153,45.39473684210526,83.33333333333333,0.0,16.58861255645752,95.47619047619048,94.28571428571429,95.71428571428571,0.9722857142857143,93.33333333333333,97.14285714285714,88.73239436619718,98.6842105263158,93.48395650914242,97.68115942028986,0.9391883129674675,0.9953445815756042
full,3,iterative,unstructured,0.7521241088917505,75.21240562334178,0.0,,,16.588252067565918,97.14285714285714,91.42857142857143,98.28571428571429,0.9876326530612245,95.47619047619048,98.57142857142857,84.37276785714286,97.18407668231612,96.76398586140688,99.43661971830986,0.9759535466740461,0.9962469396076988
full,4,one-shot,unstructured,0.25,25.0,0.0,96.9047619047619,85.71428571428571,16.588913917541504,89.76190476190476,92.85714285714286,89.14285714285714,0.9773061224489796,86.9047619047619,92.61904761904762,85.71428571428571,98.41391941391942,85.79869295050354,92.10544848035582,0.9582021923727357,0.9918223460482936
